listing,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel
JBV165,283.12,315.0,3
JBV166,305.41,,0
JBV167,400.0,250.0,1
JBV173,265.96,241.0,2
JBV179,336.73,347.0,3
JBV207,469.07,,0
JBV208,420.48,379.0,2
JBV214,265.19,241.0,2
JBV222,553.86,496.0,2
JBV231,386.72,,0
JBV232,373.92,333.0,3
JBV242,371.14,250.0,1
JBV248,417.57,367.0,2
JBV252,488.0,333.0,3
JBV265,272.45,,0
JBV276,466.3,347.0,3
JBV279,338.58,347.0,3
JBV306,346.24,284.0,3
JBV325,317.68,290.0,1
JBV327,465.14,294.0,1
JBV328,340.04,333.0,3
JBV334,300.14,252.0,1
JBV344,275.0,315.0,2
JBV433,313.23,295.0,2
JBV462,694.75,694.0,1
JBV464,307.43,,0
JBV465,307.64,,0
JCS0004,123.28,90.0,1
JDA402,176.75,,0
JDE792,325.2,280.0,2
JFM0062,254.33,,0
JFM0101,153.65,130.0,3
JHG1733,111.76,109.0,4
JMA006,112.82,115.0,1
JMA008,,,0
JMA009,103.75,,0
JMA010,,106.0,5
JMA011,106.67,106.0,5
JMA025,,106.0,5
JMA125,100.0,106.0,5
JMAR004,,106.0,5
JPA102,196.0,196.0,5
JPR201,201.29,,0
JPR211,212.0,204.0,2
JPR212,319.61,,0
JPR217,194.5,,0
JPR410,394.96,250.0,1
JQP0521,138.36,,0
JRE1223,146.93,167.0,1
JRE417,147.0,,0
JRR205,196.4,182.67,3
JRR303,296.12,270.0,2
JRR309,528.17,365.67,3
JRR410,269.77,279.0,1
JSM0103,162.24,,0
JSO0007,,359.0,5
JSO0008,219.0,359.0,1
JSR112,173.4,140.0,1
JTL001,109.91,103.75,4
JTL002,111.25,106.0,5
JVV303,142.39,130.0,1
JZZ702,141.53,130.0,1
KPL0806,234.0,,0
LAR0406,341.12,318.0,1
LBH104,256.67,225.0,2
LBM306,,,0
LBO203,235.27,201.5,2
LDN201,245.83,,0
LEA0908,131.5,110.0,2
LEC0107,242.17,,0
LEC0228,202.24,220.0,3
LES106,262.21,,0
LES403,414.39,324.0,2
LFH0306,103.38,100.0,5
LGA0201,,625.0,5
LGD0201,357.83,247.0,2
LGD0205,246.0,257.6,5
LGR204,93.56,100.0,1
LHD0706,198.23,176.0,3
LHD2007,162.69,216.2,5
LHE0201,181.5,160.0,2
LHG1603,163.21,139.0,2
LIB203,131.95,148.6,5
LIV0512,167.34,,0
LIV0803,172.71,,0
LIV0810,209.9,,0
LIV0907,173.7,146.0,2
LIV1004,240.0,240.0,2
LIV1006,186.32,140.0,3
LIV1007,163.4,,0
LIV1011,177.81,160.5,4
LIV1104,189.71,140.0,1
LIV1204,370.57,466.0,5
LIV1310,159.88,155.67,3
LIV1408,203.86,,0
LIV1411,177.96,,0
LIV1605,260.1,,0
LIV1704,148.46,,0
LIV1705,149.75,,0
LIV1712,189.08,,0
LLE0204,,265.2,5
LLR802,515.21,,0
LNB502,400.0,400.0,5
LOF1405,224.91,181.0,1
LRC0703,299.0,,0
LRM0226,134.17,,0
LTL0301,152.04,130.0,3
LTT803,164.76,140.0,2
LUP0302,146.67,,0
LVL001,569.23,585.0,1
LVR0003,428.27,221.0,2
LVR010,514.0,243.0,3
MAB0203,,130.4,5
MADB1005,140.41,141.5,2
MAL0105,241.0,,0
MAP0803,,,5
MAR202,135.77,140.0,2
MAS0603,257.56,207.0,2
MBCA0302,215.08,176.0,3
MBCA0407,159.76,158.0,2
MBCA1704,161.45,144.0,3
